scene_id,episode_id,season,episode_num,char_a,char_b,mentions_a,mentions_b,edge_weight
S01E01_SC001,S01E01,1,1,Daniel Hardman,Donna Paulsen,1,7,2.646
S01E01_SC001,S01E01,1,1,Daniel Hardman,Harvey Specter,1,24,4.899
S01E01_SC001,S01E01,1,1,Daniel Hardman,Jessica Pearson,1,10,3.162
S01E01_SC001,S01E01,1,1,Daniel Hardman,Louis Litt,1,12,3.464
S01E01_SC001,S01E01,1,1,Daniel Hardman,Mike Ross,1,12,3.464
S01E01_SC001,S01E01,1,1,Daniel Hardman,Rachel Zane,1,3,1.732
S01E01_SC001,S01E01,1,1,Daniel Hardman,Thomas Kessler,1,1,1.0
S01E01_SC001,S01E01,1,1,Daniel Hardman,Trevor Evans,1,11,3.317
S01E01_SC001,S01E01,1,1,Donna Paulsen,Harvey Specter,7,24,12.961
S01E01_SC001,S01E01,1,1,Donna Paulsen,Jessica Pearson,7,10,8.367
S01E01_SC001,S01E01,1,1,Donna Paulsen,Louis Litt,7,12,9.165
S01E01_SC001,S01E01,1,1,Donna Paulsen,Mike Ross,7,12,9.165
S01E01_SC001,S01E01,1,1,Donna Paulsen,Rachel Zane,7,3,4.583
S01E01_SC001,S01E01,1,1,Donna Paulsen,Thomas Kessler,7,1,2.646
S01E01_SC001,S01E01,1,1,Donna Paulsen,Trevor Evans,7,11,8.775
S01E01_SC001,S01E01,1,1,Harvey Specter,Jessica Pearson,24,10,15.492
S01E01_SC001,S01E01,1,1,Harvey Specter,Louis Litt,24,12,16.971
S01E01_SC001,S01E01,1,1,Harvey Specter,Mike Ross,24,12,16.971
S01E01_SC001,S01E01,1,1,Harvey Specter,Rachel Zane,24,3,8.485
S01E01_SC001,S01E01,1,1,Harvey Specter,Thomas Kessler,24,1,4.899
S01E01_SC001,S01E01,1,1,Harvey Specter,Trevor Evans,24,11,16.248
S01E01_SC001,S01E01,1,1,Jessica Pearson,Louis Litt,10,12,10.954
S01E01_SC001,S01E01,1,1,Jessica Pearson,Mike Ross,10,12,10.954
S01E01_SC001,S01E01,1,1,Jessica Pearson,Rachel Zane,10,3,5.477
S01E01_SC001,S01E01,1,1,Jessica Pearson,Thomas Kessler,10,1,3.162
S01E01_SC001,S01E01,1,1,Jessica Pearson,Trevor Evans,10,11,10.488
S01E01_SC001,S01E01,1,1,Louis Litt,Mike Ross,12,12,12.0
S01E01_SC001,S01E01,1,1,Louis Litt,Rachel Zane,12,3,6.0
S01E01_SC001,S01E01,1,1,Louis Litt,Thomas Kessler,12,1,3.464
S01E01_SC001,S01E01,1,1,Louis Litt,Trevor Evans,12,11,11.489
S01E01_SC001,S01E01,1,1,Mike Ross,Rachel Zane,12,3,6.0
S01E01_SC001,S01E01,1,1,Mike Ross,Thomas Kessler,12,1,3.464
S01E01_SC001,S01E01,1,1,Mike Ross,Trevor Evans,12,11,11.489
S01E01_SC001,S01E01,1,1,Rachel Zane,Thomas Kessler,3,1,1.732
S01E01_SC001,S01E01,1,1,Rachel Zane,Trevor Evans,3,11,5.745
S01E01_SC001,S01E01,1,1,Thomas Kessler,Trevor Evans,1,11,3.317
S01E02_SC001,S01E02,1,2,Daniel Hardman,Donna Paulsen,1,4,2.0
S01E02_SC001,S01E02,1,2,Daniel Hardman,Harvey Specter,1,28,5.292
S01E02_SC001,S01E02,1,2,Daniel Hardman,Jessica Pearson,1,4,2.0
S01E02_SC001,S01E02,1,2,Daniel Hardman,Louis Litt,1,21,4.583
S01E02_SC001,S01E02,1,2,Daniel Hardman,Mike Ross,1,17,4.123
S01E02_SC001,S01E02,1,2,Donna Paulsen,Harvey Specter,4,28,10.583
S01E02_SC001,S01E02,1,2,Donna Paulsen,Jessica Pearson,4,4,4.0
S01E02_SC001,S01E02,1,2,Donna Paulsen,Louis Litt,4,21,9.165
S01E02_SC001,S01E02,1,2,Donna Paulsen,Mike Ross,4,17,8.246
S01E02_SC001,S01E02,1,2,Harvey Specter,Jessica Pearson,28,4,10.583
S01E02_SC001,S01E02,1,2,Harvey Specter,Louis Litt,28,21,24.249
S01E02_SC001,S01E02,1,2,Harvey Specter,Mike Ross,28,17,21.817
S01E02_SC001,S01E02,1,2,Jessica Pearson,Louis Litt,4,21,9.165
S01E02_SC001,S01E02,1,2,Jessica Pearson,Mike Ross,4,17,8.246
S01E02_SC001,S01E02,1,2,Louis Litt,Mike Ross,21,17,18.894
S01E03_SC001,S01E03,1,3,Daniel Hardman,Harvey Specter,1,15,3.873
S01E03_SC001,S01E03,1,3,Daniel Hardman,Jenny Griffith,1,4,2.0
S01E03_SC001,S01E03,1,3,Daniel Hardman,Louis Litt,1,14,3.742
S01E03_SC001,S01E03,1,3,Daniel Hardman,Mike Ross,1,8,2.828
S01E03_SC001,S01E03,1,3,Daniel Hardman,Robert Zane,1,7,2.646
S01E03_SC001,S01E03,1,3,Daniel Hardman,Trevor Evans,1,10,3.162
S01E03_SC001,S01E03,1,3,Harvey Specter,Jenny Griffith,15,4,7.746
S01E03_SC001,S01E03,1,3,Harvey Specter,Louis Litt,15,14,14.491
S01E03_SC001,S01E03,1,3,Harvey Specter,Mike Ross,15,8,10.954
S01E03_SC001,S01E03,1,3,Harvey Specter,Robert Zane,15,7,10.247
S01E03_SC001,S01E03,1,3,Harvey Specter,Trevor Evans,15,10,12.247
S01E03_SC001,S01E03,1,3,Jenny Griffith,Louis Litt,4,14,7.483
S01E03_SC001,S01E03,1,3,Jenny Griffith,Mike Ross,4,8,5.657
S01E03_SC001,S01E03,1,3,Jenny Griffith,Robert Zane,4,7,5.292
S01E03_SC001,S01E03,1,3,Jenny Griffith,Trevor Evans,4,10,6.325
S01E03_SC001,S01E03,1,3,Louis Litt,Mike Ross,14,8,10.583
S01E03_SC001,S01E03,1,3,Louis Litt,Robert Zane,14,7,9.899
S01E03_SC001,S01E03,1,3,Louis Litt,Trevor Evans,14,10,11.832
S01E03_SC001,S01E03,1,3,Mike Ross,Robert Zane,8,7,7.483
S01E03_SC001,S01E03,1,3,Mike Ross,Trevor Evans,8,10,8.944
S01E03_SC001,S01E03,1,3,Robert Zane,Trevor Evans,7,10,8.367
S01E04_SC001,S01E04,1,4,Donna Paulsen,Harvey Specter,2,12,4.899
S01E04_SC001,S01E04,1,4,Donna Paulsen,Jessica Pearson,2,6,3.464
S01E04_SC001,S01E04,1,4,Donna Paulsen,Louis Litt,2,5,3.162
S01E04_SC001,S01E04,1,4,Donna Paulsen,Mike Ross,2,3,2.449
S01E04_SC001,S01E04,1,4,Donna Paulsen,Rachel Zane,2,1,1.414
S01E04_SC001,S01E04,1,4,Harvey Specter,Jessica Pearson,12,6,8.485
S01E04_SC001,S01E04,1,4,Harvey Specter,Louis Litt,12,5,7.746
S01E04_SC001,S01E04,1,4,Harvey Specter,Mike Ross,12,3,6.0
S01E04_SC001,S01E04,1,4,Harvey Specter,Rachel Zane,12,1,3.464
S01E04_SC001,S01E04,1,4,Jessica Pearson,Louis Litt,6,5,5.477
S01E04_SC001,S01E04,1,4,Jessica Pearson,Mike Ross,6,3,4.243
