episode_id,season,episode_num,dominant_character,dominant_score,top3_characters,power_shift
S01E01,1,1,Harvey Specter,0.493103,Harvey Specter | Louis Litt | Mike Ross,True
S01E02,1,2,Harvey Specter,0.509412,Harvey Specter | Louis Litt | Mike Ross,False
S01E03,1,3,Harvey Specter,0.482609,Harvey Specter | Louis Litt | Trevor Evans,False
S01E04,1,4,Harvey Specter,0.525806,Harvey Specter | Jessica Pearson | Louis Litt,False
S01E05,1,5,Harvey Specter,0.492958,Harvey Specter | Trevor Evans | Donna Paulsen,False
S01E05,1,5,Trevor Evans,0.492958,Harvey Specter | Trevor Evans | Donna Paulsen,True
S01E06,1,6,Harvey Specter,0.508621,Harvey Specter | Louis Litt | Rachel Zane,True
S01E07,1,7,Harvey Specter,0.503125,Harvey Specter | Dana Scott | Kyle Durant,False
S01E08,1,8,Louis Litt,0.503571,Louis Litt | Harvey Specter | Mike Ross,True
S01E09,1,9,Mike Ross,0.476027,Mike Ross | Louis Litt | Rachel Zane,True
S01E10,1,10,Harvey Specter,0.472973,Harvey Specter | Mike Ross | Rachel Zane,True
S01E11,1,11,Harvey Specter,0.501739,Harvey Specter | Louis Litt | Jessica Pearson,False
S01E12,1,12,Harvey Specter,0.529231,Harvey Specter | Louis Litt | Trevor Evans,False
S02E01,2,1,Harvey Specter,0.473256,Harvey Specter | Mike Ross | Jessica Pearson,False
S02E02,2,2,Harvey Specter,0.473529,Harvey Specter | Jessica Pearson | Daniel Hardman,False
S02E03,2,3,Harvey Specter,0.47619,Harvey Specter | Daniel Hardman | Jessica Pearson,False
S02E04,2,4,Harvey Specter,0.513333,Harvey Specter | Louis Litt | Mike Ross,False
S02E05,2,5,Harvey Specter,0.559783,Harvey Specter | Donna Paulsen | Jessica Pearson,False
S02E06,2,6,Louis Litt,0.473913,Louis Litt | Harvey Specter | Daniel Hardman,True
S02E07,2,7,Harvey Specter,0.536957,Harvey Specter | Donna Paulsen | Louis Litt,True
S02E08,2,8,Jessica Pearson,0.464286,Jessica Pearson | Louis Litt | Harvey Specter,True
S02E09,2,9,Louis Litt,0.484906,Louis Litt | Harvey Specter | Jessica Pearson,True
S02E10,2,10,Harvey Specter,0.485714,Harvey Specter | Daniel Hardman | Louis Litt,True
S02E11,2,11,Harvey Specter,0.498901,Harvey Specter | Mike Ross | Daniel Hardman,False
S02E12,2,12,Harvey Specter,0.486956,Harvey Specter | Louis Litt | Daniel Hardman,False
S02E13,2,13,Harvey Specter,0.469231,Harvey Specter | Katrina Bennett | Donna Paulsen,False
S02E14,2,14,Jessica Pearson,0.485263,Jessica Pearson | Daniel Hardman | Harvey Specter,True
S02E15,2,15,Harvey Specter,0.477143,Harvey Specter | Jessica Pearson | Daniel Hardman,True
S02E16,2,16,Harvey Specter,0.50099,Harvey Specter | Louis Litt | Dana Scott,False
S03E01,3,1,Harvey Specter,0.522727,Harvey Specter | Jessica Pearson | Mike Ross,False
S03E02,3,2,Harvey Specter,0.498863,Harvey Specter | Louis Litt | Mike Ross,False
S03E03,3,3,Harvey Specter,0.539806,Harvey Specter | Mike Ross | Katrina Bennett | Louis Litt,False
S03E04,3,4,Louis Litt,0.507407,Louis Litt | Harvey Specter | Jessica Pearson,True
S03E05,3,5,Harvey Specter,0.495833,Harvey Specter | Mike Ross | Donna Paulsen,True
S03E06,3,6,Harvey Specter,0.541176,Harvey Specter | Donna Paulsen | Trevor Evans,False
S03E07,3,7,Harvey Specter,0.477228,Harvey Specter | Louis Litt | Rachel Zane,False
S03E08,3,8,Harvey Specter,0.5,Harvey Specter | Harold Gunderson | Louis Litt,False
S03E09,3,9,Harvey Specter,0.485321,Harvey Specter | Louis Litt | Jessica Pearson,False
S03E10,3,10,Harvey Specter,0.494737,Harvey Specter | Mike Ross | Dana Scott,False
S03E11,3,11,Harvey Specter,0.48761,Harvey Specter | Mike Ross | Dana Scott | Sheila Sazs,False
S03E12,3,12,Louis Litt,0.484848,Louis Litt | Harvey Specter | Mike Ross,True
S03E13,3,13,Harvey Specter,0.504878,Harvey Specter | Louis Litt | Dana Scott,True
S03E14,3,14,Louis Litt,0.498113,Louis Litt | Harvey Specter | Rachel Zane,True
S03E15,3,15,Louis Litt,0.484545,Louis Litt | Mike Ross | Harvey Specter,False
S03E16,3,16,Harvey Specter,0.47437,Harvey Specter | Harold Gunderson | Mike Ross,True
S04E01,4,1,Harvey Specter,0.499174,Harvey Specter | Mike Ross | Louis Litt,False
S04E02,4,2,Louis Litt,0.482075,Louis Litt | Harvey Specter | Jessica Pearson,True
S04E03,4,3,Mike Ross,0.484706,Mike Ross | Louis Litt | Jessica Pearson,True
S04E04,4,4,Harvey Specter,0.480435,Harvey Specter | Mike Ross | Louis Litt,True
S04E05,4,5,Harvey Specter,0.470454,Harvey Specter | Mike Ross | Louis Litt,False
S04E06,4,6,Harvey Specter,0.480412,Harvey Specter | Mike Ross | Charles Forstman,False
S04E07,4,7,Mike Ross,0.475843,Mike Ross | Louis Litt | Harvey Specter,True
S04E08,4,8,Harvey Specter,0.467826,Harvey Specter | Louis Litt | Mike Ross,True
S04E09,4,9,Harvey Specter,0.471053,Harvey Specter | Louis Litt | Jessica Pearson,False
S04E10,4,10,Louis Litt,0.495946,Louis Litt | Harvey Specter | Jessica Pearson,True
