episode_id,season,episode_num,character,influence_score,influence_rank,rank_change,influence_smooth
S01E01,1,1,Harvey Specter,0.493103,1,0,0.501258
S01E01,1,1,Louis Litt,0.318178,2,0,0.373342
S01E01,1,1,Mike Ross,0.311282,3,0,0.35037
S01E01,1,1,Trevor Evans,0.293315,4,1,0.325572
S01E01,1,1,Jessica Pearson,0.277898,5,1,0.206889
S01E01,1,1,Donna Paulsen,0.210829,6,1,0.169825
S01E01,1,1,Rachel Zane,0.096543,7,1,0.05311
S01E01,1,1,Daniel Hardman,0.003448,8,2,0.003489
S01E01,1,1,Thomas Kessler,0.003448,8,0,0.003391
S01E02,1,2,Harvey Specter,0.509412,1,0,0.495041
S01E02,1,2,Louis Litt,0.428507,2,0,0.401815
S01E02,1,2,Mike Ross,0.389457,3,-1,0.336976
S01E02,1,2,Jessica Pearson,0.13588,4,2,0.248116
S01E02,1,2,Donna Paulsen,0.128821,5,0,0.147312
S01E02,1,2,Daniel Hardman,0.003529,6,-1,0.003775
S01E03,1,3,Harvey Specter,0.482609,1,0,0.505942
S01E03,1,3,Louis Litt,0.458759,2,-1,0.388216
S01E03,1,3,Trevor Evans,0.35783,3,2,0.381368
S01E03,1,3,Mike Ross,0.310189,4,0,0.290346
S01E03,1,3,Robert Zane,0.285677,5,1,0.221236
S01E03,1,3,Jenny Griffith,0.172686,6,-1,0.088456
S01E03,1,3,Daniel Hardman,0.004348,7,1,0.024837
S01E04,1,4,Harvey Specter,0.525806,1,0,0.500458
S01E04,1,4,Jessica Pearson,0.33057,2,-5,0.156892
S01E04,1,4,Louis Litt,0.277381,3,-1,0.317666
S01E04,1,4,Mike Ross,0.171391,4,-1,0.222811
S01E04,1,4,Donna Paulsen,0.102285,5,2,0.180724
S01E04,1,4,Rachel Zane,0.009677,6,3,0.134447
S01E05,1,5,Harvey Specter,0.492958,1,0,0.509128
S01E05,1,5,Trevor Evans,0.492958,1,-8,0.298095
S01E05,1,5,Donna Paulsen,0.311067,3,-2,0.161719
S01E05,1,5,Louis Litt,0.216859,4,2,0.265511
S01E05,1,5,Mike Ross,0.186853,5,1,0.203249
S01E05,1,5,Norma,0.064868,6,-2,0.03502
S01E05,1,5,Jenny Griffith,0.004226,7,2,0.09531
S01E05,1,5,Jessica Pearson,0.004226,7,1,0.13381
S01E06,1,6,Harvey Specter,0.508621,1,0,0.501568
S01E06,1,6,Louis Litt,0.302294,2,-4,0.195919
S01E06,1,6,Rachel Zane,0.297122,3,-4,0.123572
S01E06,1,6,Mike Ross,0.251504,4,0,0.228207
S01E06,1,6,Donna Paulsen,0.071806,5,-2,0.14893
S01E06,1,6,Daniel Hardman,0.066634,6,-3,0.025223
S01E06,1,6,Jessica Pearson,0.066634,6,-3,0.025183
S01E06,1,6,Harold Gunderson,0.005172,8,-1,0.007723
S01E06,1,6,Norma,0.005172,8,1,0.054969
S01E06,1,6,Sean Cahill,0.005172,8,3,0.049157
S01E07,1,7,Harvey Specter,0.503125,1,-1,0.494883
S01E07,1,7,Dana Scott,0.290415,2,-10,0.146738
S01E07,1,7,Kyle Durant,0.27619,3,-5,0.188618
S01E07,1,7,Mike Ross,0.246264,4,1,0.228041
S01E07,1,7,Jenny Griffith,0.109017,5,0,0.094781
S01E07,1,7,Louis Litt,0.068605,6,5,0.29149
S01E07,1,7,Donna Paulsen,0.063917,7,1,0.078053
S01E07,1,7,Rachel Zane,0.063917,7,-2,0.122727
S01E07,1,7,Daniel Hardman,0.004688,9,1,0.042248
S01E07,1,7,Jessica Pearson,0.004688,9,5,0.076039
S01E08,1,8,Louis Litt,0.503571,1,-1,0.340352
S01E08,1,8,Harvey Specter,0.472902,2,-2,0.406122
S01E08,1,8,Mike Ross,0.186355,3,2,0.302882
S01E08,1,8,Jessica Pearson,0.156796,4,-3,0.057938
S01E08,1,8,Robert Zane,0.156796,4,-6,0.148654
S01E08,1,8,Donna Paulsen,0.098437,6,-1,0.058228
S01E08,1,8,Norma,0.094866,7,-2,0.034885
S01E08,1,8,Daniel Hardman,0.055422,8,3,0.05981
S01E08,1,8,Rachel Zane,0.007143,9,6,0.108576
S01E09,1,9,Mike Ross,0.476027,1,-1,0.36539
S01E09,1,9,Louis Litt,0.448879,2,-2,0.383236
S01E09,1,9,Rachel Zane,0.254669,3,0,0.155727
S01E09,1,9,Harvey Specter,0.24234,4,3,0.396072
S01E09,1,9,Daniel Hardman,0.119321,5,-2,0.099662
S01E09,1,9,Benjamin,0.014384,6,-3,0.039732
S01E09,1,9,Donna Paulsen,0.012329,7,0,0.072343
S01E09,1,9,Jessica Pearson,0.012329,7,1,0.109355
S01E09,1,9,Harold Gunderson,0.010274,9,2,0.047369
S01E10,1,10,Harvey Specter,0.472973,1,0,0.405684
S01E10,1,10,Mike Ross,0.433787,2,-3,0.358837
S01E10,1,10,Rachel Zane,0.205368,3,-2,0.208912
S01E10,1,10,Louis Litt,0.197259,4,2,0.350231
S01E10,1,10,Jenny Griffith,0.171101,5,1,0.149808
S01E10,1,10,Jessica Pearson,0.158939,6,3,0.124122
S01E10,1,10,Daniel Hardman,0.124244,7,-3,0.082058
S01E10,1,10,Paula Agard,0.116136,8,-2,0.059524
S01E10,1,10,Brian Altman,0.008108,9,1,0.063796
S01E11,1,11,Harvey Specter,0.501739,1,0,0.501314
S01E11,1,11,Louis Litt,0.404555,2,0,0.286346
S01E11,1,11,Jessica Pearson,0.201097,3,-5,0.140731
S01E11,1,11,Jenny Griffith,0.169307,4,-1,0.157426
S01E11,1,11,Mike Ross,0.166698,5,1,0.255581
S01E11,1,11,Rachel Zane,0.166698,5,-2,0.156672
S01E11,1,11,Donna Paulsen,0.106262,7,2,0.083487
S01E11,1,11,Kyle Durant,0.101045,8,-2,0.126196
S01E11,1,11,Trevor Evans,0.043497,9,6,0.243179
S01E11,1,11,Daniel Hardman,0.002609,10,6,0.151308
S01E12,1,12,Harvey Specter,0.529231,1,0,0.501409
S01E12,1,12,Louis Litt,0.257224,2,-5,0.257675
S01E12,1,12,Trevor Evans,0.193081,3,-5,0.114778
S01E12,1,12,Mike Ross,0.166258,4,2,0.236499
S01E12,1,12,Donna Paulsen,0.13187,5,-4,0.100279
S01E12,1,12,Jenny Griffith,0.13187,5,-1,0.16105
S01E12,1,12,Rachel Zane,0.09795,7,2,0.15993
S01E12,1,12,Jessica Pearson,0.062157,8,5,0.200263
S01E12,1,12,Norma,0.004616,9,2,0.051428
S02E01,2,1,Harvey Specter,0.473256,1,0,0.492005
S02E01,2,1,Mike Ross,0.376541,2,-2,0.257948
S02E01,2,1,Jessica Pearson,0.337535,3,1,0.278716
S02E01,2,1,Daniel Hardman,0.32707,4,1,0.247104
S02E01,2,1,Rachel Zane,0.215141,5,1,0.181379
S02E01,2,1,Jenny Griffith,0.181972,6,-3,0.105594
S02E01,2,1,Louis Litt,0.111246,7,3,0.199839
S02E01,2,1,Trevor Evans,0.107757,8,-2,0.134015
S02E01,2,1,Donna Paulsen,0.062706,9,2,0.083126
S02E01,2,1,Robert Zane,0.003488,10,-2,0.054448
S02E02,2,2,Harvey Specter,0.473529,1,0,0.474325
S02E02,2,2,Jessica Pearson,0.436456,2,-1,0.35983
S02E02,2,2,Daniel Hardman,0.411632,3,1,0.381905
S02E02,2,2,Louis Litt,0.231046,4,-2,0.171028
S02E02,2,2,Mike Ross,0.231046,4,-1,0.28552
S02E02,2,2,Rachel Zane,0.231046,4,0,0.240737
S02E02,2,2,Donna Paulsen,0.054803,7,-2,0.063828
S02E02,2,2,Norma,0.054803,7,-3,0.021394
S02E02,2,2,Jenny Griffith,0.002941,9,1,0.062749
S02E03,2,3,Harvey Specter,0.47619,1,0,0.487684
S02E03,2,3,Daniel Hardman,0.407012,2,-2,0.337199
S02E03,2,3,Jessica Pearson,0.305498,3,-3,0.277982
S02E03,2,3,Rachel Zane,0.276025,4,-3,0.170111
S02E03,2,3,Mike Ross,0.248974,5,2,0.240887
S02E03,2,3,Louis Litt,0.170791,6,4,0.261625
S02E03,2,3,Harold Gunderson,0.126662,7,0,0.074087
S02E03,2,3,Sheila Sazs,0.126662,7,-2,0.108075
S02E03,2,3,Donna Paulsen,0.073975,9,4,0.105022
S02E03,2,3,Norma,0.004762,10,3,0.020942
S02E04,2,4,Harvey Specter,0.513333,1,0,0.516435
S02E04,2,4,Louis Litt,0.383039,2,-2,0.234102
S02E04,2,4,Mike Ross,0.242641,3,-3,0.178935
S02E04,2,4,Daniel Hardman,0.192953,4,-1,0.216138
S02E04,2,4,Donna Paulsen,0.186287,5,3,0.196189
S02E04,2,4,Jessica Pearson,0.091991,6,3,0.185249
S02E04,2,4,Harold Gunderson,0.085324,7,0,0.071749
S02E04,2,4,Jenny Griffith,0.003333,8,1,0.047737
S02E04,2,4,Thomas Kessler,0.003333,8,-1,0.00371
S02E05,2,5,Harvey Specter,0.559783,1,-1,0.499468
S02E05,2,5,Donna Paulsen,0.328305,2,-2,0.256619
S02E05,2,5,Jessica Pearson,0.158257,3,-2,0.158091
S02E05,2,5,Louis Litt,0.148475,4,3,0.335142
S02E05,2,5,Daniel Hardman,0.04845,5,2,0.176391
S02E05,2,5,Mike Ross,0.045189,6,0,0.16772
S02E05,2,5,Harold Gunderson,0.003261,7,1,0.101305
S02E05,2,5,Norma,0.003261,7,-3,0.03641
S02E05,2,5,Rachel Zane,0.003261,7,-1,0.137973
S02E06,2,6,Louis Litt,0.473913,1,-2,0.278386
S02E06,2,6,Harvey Specter,0.425287,2,1,0.507342
S02E06,2,6,Daniel Hardman,0.287769,3,-2,0.169483
S02E06,2,6,Donna Paulsen,0.255265,4,2,0.272727
S02E06,2,6,Jessica Pearson,0.224025,5,1,0.190484
S02E06,2,6,Harold Gunderson,0.215329,6,-2,0.09059
S02E06,2,6,Mike Ross,0.215329,6,0,0.113115
S02E06,2,6,Rachel Zane,0.134633,8,1,0.048863
S02E06,2,6,Thomas Kessler,0.004348,9,-1,0.003285
S02E06,2,6,Zoe Lawford,0.004348,9,1,0.004348
S02E07,2,7,Harvey Specter,0.536957,1,-2,0.449623
S02E07,2,7,Donna Paulsen,0.234612,2,-4,0.2194
S02E07,2,7,Louis Litt,0.212769,3,1,0.364294
S02E07,2,7,Jessica Pearson,0.189171,4,3,0.292494
S02E07,2,7,Daniel Hardman,0.172229,5,1,0.251234
S02E07,2,7,Mike Ross,0.078828,6,1,0.172251
S02E07,2,7,Rachel Zane,0.008696,7,-2,0.082532
S02E07,2,7,Zoe Lawford,0.004348,8,1,0.048544
S02E08,2,8,Jessica Pearson,0.464286,1,-2,0.319345
S02E08,2,8,Louis Litt,0.4062,2,1,0.367958
S02E08,2,8,Harvey Specter,0.386624,3,1,0.452948
S02E08,2,8,Daniel Hardman,0.293704,4,0,0.249246
S02E08,2,8,Mike Ross,0.222597,5,-2,0.1417
S02E08,2,8,Donna Paulsen,0.168324,6,0,0.201112
S02E08,2,8,Jenny Griffith,0.136936,7,0,0.047991
S02E08,2,8,Zoe Lawford,0.136936,7,0,0.087395
S02E08,2,8,Rachel Zane,0.104268,9,4,0.111625
S02E08,2,8,Norma,0.101207,10,1,0.036709
S02E08,2,8,Trevor Evans,0.101207,10,-1,0.071635
S02E08,2,8,Dana Scott,0.003061,12,6,0.164772
S02E08,2,8,Robert Zane,0.003061,12,8,0.101117
S02E09,2,9,Louis Litt,0.484906,1,-2,0.358075
S02E09,2,9,Harvey Specter,0.435262,2,1,0.435867
S02E09,2,9,Jessica Pearson,0.304577,3,-3,0.264691
S02E09,2,9,Daniel Hardman,0.281804,4,2,0.312255
S02E09,2,9,Rachel Zane,0.22191,5,0,0.136132
