episode_id,season,episode_num,character,degree_centrality_x,betweenness_centrality_x,eigenvector_centrality_x,pagerank,weighted_degree_x,mention_volume_share,sentiment_control_raw,pagerank_norm,sentiment_control_norm,influence_score,influence_rank,degree_centrality_y,betweenness_centrality_y,eigenvector_centrality_y,weighted_degree_y,episode_idx,is_season_finale,is_season_premiere,season_progress,influence_score_lag1,influence_score_lag2,influence_score_lag3,pagerank_lag1,pagerank_lag2,pagerank_lag3,mention_volume_share_lag1,mention_volume_share_lag2,mention_volume_share_lag3,influence_momentum,pagerank_momentum,rank_momentum,dominance_streak,avg_sentiment,pct_positive,pct_negative,pct_commanding,pct_defensive,pct_manipulative,pct_assertive,legal_density,avg_word_count,avg_flesch,pct_anger,pct_fear,pct_joy,pct_sadness,next_episode_id,next_dominant,is_next_dominant
S07E02,7,2,Alex Williams,1.0,0.0,0.325182,0.102593,95.601,0.094891,0.2241754385964912,0.4872852194276513,0.0,0.223381,6,1.0,0.0,0.325182,95.601,93,0,0,0.125,,,,,,,,,,0.223381,0.102593,,0,0.042103,0.324561,0.222807,0.022807,0.024561,0.001754,0.005263,0.075439,12.17193,89.399281,0.036842,0.021053,0.033333,0.036842,S07E03,Louis Litt,0
S07E03,7,3,Alex Williams,1.0,0.0,0.366354,0.134176,103.682,0.125786,0.2392392496392496,0.6745202332323799,0.0,0.307544,4,1.0,0.0,0.366354,103.682,94,0,0,0.1875,0.223381,,,0.102593,,,0.094891,,,0.08416299999999999,0.031582999999999986,2.0,0,-0.00286,0.292929,0.271284,0.025974,0.027417,0.008658,0.004329,0.033189,10.68254,90.53417,0.034632,0.011544,0.025974,0.021645,S07E04,Harvey Specter,0
S07E04,7,4,Alex Williams,1.0,0.0,0.336909,0.105516,132.628,0.109195,0.22435285935085,0.5807903295588741,0.0,0.265075,4,1.0,0.0,0.336909,132.628,95,0,0,0.25,0.307544,0.223381,,0.134176,0.102593,,0.125786,0.094891,,-0.04246899999999998,-0.02865999999999999,0.0,0,0.035821,0.340031,0.227202,0.027821,0.041731,0.004637,0.006182,0.046368,11.401855,93.174405,0.046368,0.004637,0.041731,0.020093,S07E05,Harvey Specter,0
S07E06,7,6,Alex Williams,1.0,0.0,0.234285,0.072412,95.746,0.041667,0.2573347442680776,0.3495406815780001,0.0,0.152316,8,1.0,0.0,0.234285,95.746,97,0,0,0.375,0.265075,0.307544,0.223381,0.105516,0.134176,0.102593,0.109195,0.125786,0.094891,-0.112759,-0.033103999999999995,-4.0,0,0.001333,0.313933,0.287478,0.0194,0.047619,0.010582,0.003527,0.038801,13.088183,90.487354,0.058201,0.012346,0.028219,0.038801,S07E07,Harvey Specter,0
S07E07,7,7,Alex Williams,1.0,0.0,0.355058,0.112446,168.333,0.121771,0.2488213804713804,0.5528745559872428,0.0,0.257681,4,1.0,0.0,0.355058,168.333,98,0,0,0.4375,0.152316,0.265075,0.307544,0.072412,0.105516,0.134176,0.041667,0.109195,0.125786,0.10536499999999999,0.040034,4.0,0,0.014245,0.316498,0.249158,0.037037,0.030303,0.015152,0.010101,0.06229,13.164983,88.760673,0.052189,0.001684,0.025253,0.013468,S07E08,Harvey Specter,0
S07E08,7,8,Alex Williams,1.0,0.0,0.301173,0.09074,109.531,0.077922,0.2217412480974124,0.5943045329800154,0.0,0.261098,5,1.0,0.0,0.301173,109.531,99,0,0,0.5,0.257681,0.152316,0.265075,0.112446,0.072412,0.105516,0.121771,0.041667,0.109195,0.0034170000000000034,-0.021706000000000003,-1.0,0,-0.002069,0.278539,0.260274,0.022831,0.048706,0.013699,0.00761,0.019787,11.138508,93.725312,0.05175,0.00761,0.021309,0.030441,S07E09,Harvey Specter,0
S07E09,7,9,Alex Williams,1.0,0.711111,0.11803,0.044627,28.627,0.015267,0.2356198033707865,0.0,0.0,0.00458,11,1.0,0.711111,0.11803,28.627,100,0,0,0.5625,0.261098,0.257681,0.152316,0.09074,0.112446,0.072412,0.077922,0.121771,0.041667,-0.256518,-0.046113,-6.0,0,0.025432,0.323034,0.23736,0.022472,0.035112,0.001404,0.005618,0.021067,11.526685,91.808764,0.050562,0.011236,0.025281,0.032303,S07E10,Harvey Specter,0
S07E10,7,10,Alex Williams,1.0,0.0,0.222204,0.076375,68.375,0.027322,0.2342453947368421,0.2024403908140215,0.0,0.089173,7,1.0,0.0,0.222204,68.375,101,0,0,0.625,0.00458,0.261098,0.257681,0.044627,0.09074,0.112446,0.015267,0.077922,0.121771,0.084593,0.031748,4.0,0,0.041252,0.332237,0.220395,0.039474,0.026316,0.003289,0.0,0.03125,13.274671,89.839556,0.041118,0.019737,0.026316,0.023026,S07E11,Harvey Specter,0
S07E11,7,11,Alex Williams,1.0,0.0,0.276487,0.085732,130.942,0.056522,0.2132082236842105,0.4444240670890606,0.0,0.194726,6,1.0,0.0,0.276487,130.942,102,0,0,0.6875,0.089173,0.00458,0.261098,0.076375,0.044627,0.09074,0.027322,0.015267,0.077922,0.10555300000000001,0.009357000000000004,1.0,0,0.055938,0.330592,0.192434,0.026316,0.049342,0.004934,0.001645,0.039474,11.735197,89.911349,0.026316,0.009868,0.021382,0.023026,S07E12,Harvey Specter,0
S07E12,7,12,Alex Williams,1.0,0.345455,0.096526,0.037596,35.597,0.00565,0.2360623089983022,0.0,0.0,0.001695,12,1.0,0.345455,0.096526,35.597,103,0,0,0.75,0.194726,0.089173,0.00458,0.085732,0.076375,0.044627,0.056522,0.027322,0.015267,-0.193031,-0.048136000000000005,-6.0,0,0.085792,0.387097,0.193548,0.033956,0.032258,0.010187,0.003396,0.01528,12.485569,92.296401,0.03056,0.006791,0.025467,0.025467,S07E13,Harvey Specter,0
