scene_id,episode_id,season,episode_num,character,mention_count
S01E01_SC001,S01E01,1,1,Harvey Specter,24
S01E01_SC001,S01E01,1,1,Jessica Pearson,10
S01E01_SC001,S01E01,1,1,Trevor Evans,11
S01E01_SC001,S01E01,1,1,Mike Ross,12
S01E01_SC001,S01E01,1,1,Louis Litt,12
S01E01_SC001,S01E01,1,1,Donna Paulsen,7
S01E01_SC001,S01E01,1,1,Rachel Zane,3
S01E01_SC001,S01E01,1,1,Thomas Kessler,1
S01E01_SC001,S01E01,1,1,Daniel Hardman,1
S01E02_SC001,S01E02,1,2,Harvey Specter,28
S01E02_SC001,S01E02,1,2,Mike Ross,17
S01E02_SC001,S01E02,1,2,Louis Litt,21
S01E02_SC001,S01E02,1,2,Donna Paulsen,4
S01E02_SC001,S01E02,1,2,Jessica Pearson,4
S01E02_SC001,S01E02,1,2,Daniel Hardman,1
S01E03_SC001,S01E03,1,3,Harvey Specter,15
S01E03_SC001,S01E03,1,3,Mike Ross,8
S01E03_SC001,S01E03,1,3,Robert Zane,7
S01E03_SC001,S01E03,1,3,Louis Litt,14
S01E03_SC001,S01E03,1,3,Daniel Hardman,1
S01E03_SC001,S01E03,1,3,Trevor Evans,10
S01E03_SC001,S01E03,1,3,Jenny Griffith,4
S01E04_SC001,S01E04,1,4,Louis Litt,5
S01E04_SC001,S01E04,1,4,Harvey Specter,12
S01E04_SC001,S01E04,1,4,Jessica Pearson,6
S01E04_SC001,S01E04,1,4,Donna Paulsen,2
S01E04_SC001,S01E04,1,4,Mike Ross,3
S01E04_SC001,S01E04,1,4,Rachel Zane,1
S01E05_SC001,S01E05,1,5,Louis Litt,6
S01E05_SC001,S01E05,1,5,Trevor Evans,20
S01E05_SC001,S01E05,1,5,Jenny Griffith,1
S01E05_SC001,S01E05,1,5,Harvey Specter,20
S01E05_SC001,S01E05,1,5,Mike Ross,5
S01E05_SC001,S01E05,1,5,Donna Paulsen,10
S01E05_SC001,S01E05,1,5,Norma,2
S01E05_SC001,S01E05,1,5,Jessica Pearson,1
S01E06_SC001,S01E06,1,6,Harvey Specter,20
S01E06_SC001,S01E06,1,6,Rachel Zane,9
S01E06_SC001,S01E06,1,6,Daniel Hardman,2
S01E06_SC001,S01E06,1,6,Donna Paulsen,2
S01E06_SC001,S01E06,1,6,Mike Ross,7
S01E06_SC001,S01E06,1,6,Harold Gunderson,1
S01E06_SC001,S01E06,1,6,Louis Litt,9
S01E06_SC001,S01E06,1,6,Jessica Pearson,2
S01E06_SC001,S01E06,1,6,Norma,1
S01E06_SC001,S01E06,1,6,Sean Cahill,1
S01E07_SC001,S01E07,1,7,Harvey Specter,21
S01E07_SC001,S01E07,1,7,Donna Paulsen,2
S01E07_SC001,S01E07,1,7,Louis Litt,2
S01E07_SC001,S01E07,1,7,Jessica Pearson,1
S01E07_SC001,S01E07,1,7,Kyle Durant,8
S01E07_SC001,S01E07,1,7,Mike Ross,7
S01E07_SC001,S01E07,1,7,Dana Scott,9
S01E07_SC001,S01E07,1,7,Rachel Zane,2
S01E07_SC001,S01E07,1,7,Jenny Griffith,3
S01E07_SC001,S01E07,1,7,Daniel Hardman,1
S01E08_SC001,S01E08,1,8,Harvey Specter,23
S01E08_SC001,S01E08,1,8,Louis Litt,26
S01E08_SC001,S01E08,1,8,Mike Ross,6
S01E08_SC001,S01E08,1,8,Donna Paulsen,3
S01E08_SC001,S01E08,1,8,Norma,3
S01E08_SC001,S01E08,1,8,Robert Zane,5
S01E08_SC001,S01E08,1,8,Daniel Hardman,2
S01E08_SC001,S01E08,1,8,Rachel Zane,1
S01E08_SC001,S01E08,1,8,Jessica Pearson,5
S01E09_SC001,S01E09,1,9,Mike Ross,31
S01E09_SC001,S01E09,1,9,Harvey Specter,15
S01E09_SC001,S01E09,1,9,Donna Paulsen,5
S01E09_SC001,S01E09,1,9,Daniel Hardman,9
S01E09_SC001,S01E09,1,9,Jessica Pearson,5
S01E09_SC001,S01E09,1,9,Louis Litt,28
S01E09_SC001,S01E09,1,9,Harold Gunderson,5
S01E09_SC001,S01E09,1,9,Rachel Zane,15
S01E09_SC001,S01E09,1,9,Benjamin,5
S01E10_SC001,S01E10,1,10,Louis Litt,6
S01E10_SC001,S01E10,1,10,Jessica Pearson,5
S01E10_SC001,S01E10,1,10,Mike Ross,14
S01E10_SC001,S01E10,1,10,Daniel Hardman,4
S01E10_SC001,S01E10,1,10,Jenny Griffith,5
S01E10_SC001,S01E10,1,10,Rachel Zane,6
S01E10_SC001,S01E10,1,10,Harvey Specter,16
S01E10_SC001,S01E10,1,10,Paula Agard,4
S01E10_SC001,S01E10,1,10,Brian Altman,2
S01E11_SC001,S01E11,1,11,Louis Litt,26
S01E11_SC001,S01E11,1,11,Rachel Zane,7
S01E11_SC001,S01E11,1,11,Jenny Griffith,7
S01E11_SC001,S01E11,1,11,Mike Ross,7
S01E11_SC001,S01E11,1,11,Harvey Specter,38
S01E11_SC001,S01E11,1,11,Jessica Pearson,9
S01E11_SC001,S01E11,1,11,Daniel Hardman,1
S01E11_SC001,S01E11,1,11,Donna Paulsen,4
S01E11_SC001,S01E11,1,11,Kyle Durant,4
S01E11_SC001,S01E11,1,11,Trevor Evans,2
S01E12_SC001,S01E12,1,12,Jenny Griffith,4
S01E12_SC001,S01E12,1,12,Harvey Specter,27
S01E12_SC001,S01E12,1,12,Trevor Evans,6
S01E12_SC001,S01E12,1,12,Jessica Pearson,2
S01E12_SC001,S01E12,1,12,Louis Litt,9
S01E12_SC001,S01E12,1,12,Rachel Zane,3
S01E12_SC001,S01E12,1,12,Mike Ross,5
S01E12_SC001,S01E12,1,12,Donna Paulsen,4
S01E12_SC001,S01E12,1,12,Norma,1
S02E01_SC001,S02E01,2,1,Jessica Pearson,11
S02E01_SC001,S02E01,2,1,Harvey Specter,19
S02E01_SC001,S02E01,2,1,Mike Ross,13
S02E01_SC001,S02E01,2,1,Donna Paulsen,2
S02E01_SC001,S02E01,2,1,Jenny Griffith,5
S02E01_SC001,S02E01,2,1,Rachel Zane,6
S02E01_SC001,S02E01,2,1,Trevor Evans,3
S02E01_SC001,S02E01,2,1,Daniel Hardman,11
S02E01_SC001,S02E01,2,1,Louis Litt,3
S02E01_SC001,S02E01,2,1,Robert Zane,1
S02E02_SC001,S02E02,2,2,Mike Ross,8
S02E02_SC001,S02E02,2,2,Rachel Zane,8
S02E02_SC001,S02E02,2,2,Jenny Griffith,1
S02E02_SC001,S02E02,2,2,Jessica Pearson,20
S02E02_SC001,S02E02,2,2,Daniel Hardman,19
S02E02_SC001,S02E02,2,2,Louis Litt,8
S02E02_SC001,S02E02,2,2,Harvey Specter,24
S02E02_SC001,S02E02,2,2,Norma,2
S02E02_SC001,S02E02,2,2,Donna Paulsen,2
S02E03_SC001,S02E03,2,3,Daniel Hardman,12
S02E03_SC001,S02E03,2,3,Jessica Pearson,8
S02E03_SC001,S02E03,2,3,Harvey Specter,15
S02E03_SC001,S02E03,2,3,Rachel Zane,7
S02E03_SC001,S02E03,2,3,Mike Ross,6
S02E03_SC001,S02E03,2,3,Harold Gunderson,3
S02E03_SC001,S02E03,2,3,Louis Litt,4
S02E03_SC001,S02E03,2,3,Sheila Sazs,3
S02E03_SC001,S02E03,2,3,Norma,1
S02E03_SC001,S02E03,2,3,Donna Paulsen,2
S02E04_SC001,S02E04,2,4,Thomas Kessler,1
S02E04_SC001,S02E04,2,4,Louis Litt,20
S02E04_SC001,S02E04,2,4,Mike Ross,10
S02E04_SC001,S02E04,2,4,Harvey Specter,32
S02E04_SC001,S02E04,2,4,Donna Paulsen,7
S02E04_SC001,S02E04,2,4,Harold Gunderson,3
S02E04_SC001,S02E04,2,4,Jessica Pearson,3
S02E04_SC001,S02E04,2,4,Daniel Hardman,7
S02E04_SC001,S02E04,2,4,Jenny Griffith,1
S02E05_SC001,S02E05,2,5,Donna Paulsen,18
S02E05_SC001,S02E05,2,5,Harvey Specter,45
S02E05_SC001,S02E05,2,5,Jessica Pearson,6
S02E05_SC001,S02E05,2,5,Harold Gunderson,1
S02E05_SC001,S02E05,2,5,Louis Litt,6
S02E05_SC001,S02E05,2,5,Norma,1
S02E05_SC001,S02E05,2,5,Rachel Zane,1
S02E05_SC001,S02E05,2,5,Mike Ross,2
S02E05_SC001,S02E05,2,5,Daniel Hardman,2
S02E06_SC001,S02E06,2,6,Daniel Hardman,7
S02E06_SC001,S02E06,2,6,Jessica Pearson,5
S02E06_SC001,S02E06,2,6,Louis Litt,14
S02E06_SC001,S02E06,2,6,Donna Paulsen,6
S02E06_SC001,S02E06,2,6,Harvey Specter,12
S02E06_SC001,S02E06,2,6,Rachel Zane,3
S02E06_SC001,S02E06,2,6,Harold Gunderson,5
S02E06_SC001,S02E06,2,6,Mike Ross,5
S02E06_SC001,S02E06,2,6,Zoe Lawford,1
S02E06_SC001,S02E06,2,6,Thomas Kessler,1
S02E07_SC001,S02E07,2,7,Harvey Specter,60
S02E07_SC001,S02E07,2,7,Louis Litt,14
S02E07_SC001,S02E07,2,7,Jessica Pearson,12
S02E07_SC001,S02E07,2,7,Donna Paulsen,16
S02E07_SC001,S02E07,2,7,Daniel Hardman,11
S02E07_SC001,S02E07,2,7,Mike Ross,5
S02E07_SC001,S02E07,2,7,Zoe Lawford,2
S02E07_SC001,S02E07,2,7,Rachel Zane,2
S02E08_SC001,S02E08,2,8,Jessica Pearson,20
S02E08_SC001,S02E08,2,8,Harvey Specter,15
S02E08_SC001,S02E08,2,8,Daniel Hardman,10
S02E08_SC001,S02E08,2,8,Louis Litt,16
S02E08_SC001,S02E08,2,8,Norma,3
S02E08_SC001,S02E08,2,8,Trevor Evans,3
S02E08_SC001,S02E08,2,8,Mike Ross,7
S02E08_SC001,S02E08,2,8,Donna Paulsen,5
S02E08_SC001,S02E08,2,8,Zoe Lawford,4
S02E08_SC001,S02E08,2,8,Jenny Griffith,4
S02E08_SC001,S02E08,2,8,Rachel Zane,3
S02E08_SC001,S02E08,2,8,Dana Scott,1
S02E08_SC001,S02E08,2,8,Robert Zane,1
S02E09_SC001,S02E09,2,9,Donna Paulsen,7
S02E09_SC001,S02E09,2,9,Harvey Specter,21
S02E09_SC001,S02E09,2,9,Louis Litt,25
S02E09_SC001,S02E09,2,9,Jessica Pearson,12
S02E09_SC001,S02E09,2,9,Harold Gunderson,2
S02E09_SC001,S02E09,2,9,Norma,1
S02E09_SC001,S02E09,2,9,Daniel Hardman,11
S02E09_SC001,S02E09,2,9,Rachel Zane,8
S02E09_SC001,S02E09,2,9,Mike Ross,4
S02E09_SC001,S02E09,2,9,Esther Litt,1
S02E10_SC001,S02E10,2,10,Daniel Hardman,23
S02E10_SC001,S02E10,2,10,Jessica Pearson,8
S02E10_SC001,S02E10,2,10,Rachel Zane,10
S02E10_SC001,S02E10,2,10,Harvey Specter,31
S02E10_SC001,S02E10,2,10,Mike Ross,13
S02E10_SC001,S02E10,2,10,Donna Paulsen,8
S02E10_SC001,S02E10,2,10,Louis Litt,14
S02E11_SC001,S02E11,2,11,Daniel Hardman,9
S02E11_SC001,S02E11,2,11,Jessica Pearson,4
S02E11_SC001,S02E11,2,11,Zoe Lawford,4
S02E11_SC001,S02E11,2,11,Harvey Specter,27
S02E11_SC001,S02E11,2,11,Sheila Sazs,3
S02E11_SC001,S02E11,2,11,Louis Litt,8
S02E11_SC001,S02E11,2,11,Rachel Zane,4
S02E11_SC001,S02E11,2,11,Mike Ross,14
S02E11_SC001,S02E11,2,11,Katrina Bennett,6
S02E11_SC001,S02E11,2,11,Donna Paulsen,3
S02E11_SC001,S02E11,2,11,Jack Soloff,1
S02E12_SC001,S02E12,2,12,Daniel Hardman,22
S02E12_SC001,S02E12,2,12,Louis Litt,25
S02E12_SC001,S02E12,2,12,Harvey Specter,40
S02E12_SC001,S02E12,2,12,Zoe Lawford,3
S02E12_SC001,S02E12,2,12,Mike Ross,14
S02E12_SC001,S02E12,2,12,Donna Paulsen,5
S02E12_SC001,S02E12,2,12,Rachel Zane,3
S02E12_SC001,S02E12,2,12,Jessica Pearson,7
S02E12_SC001,S02E12,2,12,Harold Gunderson,12
S02E12_SC001,S02E12,2,12,Thomas Kessler,1
S02E13_SC001,S02E13,2,13,Daniel Hardman,6
S02E13_SC001,S02E13,2,13,Katrina Bennett,11
S02E13_SC001,S02E13,2,13,Harvey Specter,17
S02E13_SC001,S02E13,2,13,Louis Litt,8
S02E13_SC001,S02E13,2,13,Rachel Zane,8
S02E13_SC001,S02E13,2,13,Robert Zane,9
S02E13_SC001,S02E13,2,13,Donna Paulsen,9
S02E13_SC001,S02E13,2,13,Mike Ross,3
S02E13_SC001,S02E13,2,13,Jessica Pearson,2
S02E13_SC001,S02E13,2,13,Benjamin,2
S02E13_SC001,S02E13,2,13,Anita Gibbs,1
S02E13_SC001,S02E13,2,13,Norma,1
S02E14_SC001,S02E14,2,14,Louis Litt,10
S02E14_SC001,S02E14,2,14,Daniel Hardman,17
S02E14_SC001,S02E14,2,14,Mike Ross,8
S02E14_SC001,S02E14,2,14,Jessica Pearson,24
S02E14_SC001,S02E14,2,14,Harvey Specter,17
S02E14_SC001,S02E14,2,14,Rachel Zane,3
S02E14_SC001,S02E14,2,14,Donna Paulsen,6
S02E14_SC001,S02E14,2,14,Robert Zane,2
S02E15_SC001,S02E15,2,15,Katrina Bennett,9
S02E15_SC001,S02E15,2,15,Daniel Hardman,13
S02E15_SC001,S02E15,2,15,Sheila Sazs,4
S02E15_SC001,S02E15,2,15,Dana Scott,7
S02E15_SC001,S02E15,2,15,Harvey Specter,25
S02E15_SC001,S02E15,2,15,Mike Ross,6
S02E15_SC001,S02E15,2,15,Rachel Zane,11
S02E15_SC001,S02E15,2,15,Jessica Pearson,16
S02E15_SC001,S02E15,2,15,Donna Paulsen,1
S02E15_SC001,S02E15,2,15,Louis Litt,5
S02E15_SC001,S02E15,2,15,Harold Gunderson,1
S02E15_SC001,S02E15,2,15,Norma,1
S02E16_SC001,S02E16,2,16,Louis Litt,12
S02E16_SC001,S02E16,2,16,Harvey Specter,33
S02E16_SC001,S02E16,2,16,Jessica Pearson,9
S02E16_SC001,S02E16,2,16,Daniel Hardman,4
S02E16_SC001,S02E16,2,16,Robert Zane,1
S02E16_SC001,S02E16,2,16,Dana Scott,10
S02E16_SC001,S02E16,2,16,Rachel Zane,7
S02E16_SC001,S02E16,2,16,Donna Paulsen,4
S02E16_SC001,S02E16,2,16,Harold Gunderson,1
S02E16_SC001,S02E16,2,16,Mike Ross,7
S02E16_SC001,S02E16,2,16,Sheila Sazs,4
S02E16_SC001,S02E16,2,16,Zoe Lawford,2
S02E16_SC001,S02E16,2,16,Trevor Evans,1
S03E01_SC001,S03E01,3,1,Harvey Specter,35
S03E01_SC001,S03E01,3,1,Jessica Pearson,15
S03E01_SC001,S03E01,3,1,Dana Scott,5
S03E01_SC001,S03E01,3,1,Mike Ross,7
S03E01_SC001,S03E01,3,1,Donna Paulsen,6
S03E01_SC001,S03E01,3,1,Rachel Zane,3
S03E01_SC001,S03E01,3,1,Daniel Hardman,2
S03E01_SC001,S03E01,3,1,Louis Litt,6
S03E01_SC001,S03E01,3,1,Benjamin,3
S03E01_SC001,S03E01,3,1,Norma,2
S03E02_SC001,S03E02,3,2,Jessica Pearson,15
S03E02_SC001,S03E02,3,2,Harvey Specter,44
S03E02_SC001,S03E02,3,2,Donna Paulsen,9
S03E02_SC001,S03E02,3,2,Louis Litt,28
S03E02_SC001,S03E02,3,2,Mike Ross,26
S03E02_SC001,S03E02,3,2,Esther Litt,1
S03E02_SC001,S03E02,3,2,Jack Soloff,1
S03E02_SC001,S03E02,3,2,Rachel Zane,5
S03E02_SC001,S03E02,3,2,Katrina Bennett,1
S03E03_SC001,S03E03,3,3,Katrina Bennett,8
S03E03_SC001,S03E03,3,3,Louis Litt,8
S03E03_SC001,S03E03,3,3,Jessica Pearson,5
S03E03_SC001,S03E03,3,3,Rachel Zane,5
S03E03_SC001,S03E03,3,3,Mike Ross,11
S03E03_SC001,S03E03,3,3,Harvey Specter,43
S03E03_SC001,S03E03,3,3,Norma,1
S03E03_SC001,S03E03,3,3,Donna Paulsen,6
S03E03_SC001,S03E03,3,3,Harold Gunderson,2
S03E04_SC001,S03E04,3,4,Louis Litt,27
S03E04_SC001,S03E04,3,4,Mike Ross,7
S03E04_SC001,S03E04,3,4,Jessica Pearson,7
S03E04_SC001,S03E04,3,4,Harvey Specter,27
S03E04_SC001,S03E04,3,4,Katrina Bennett,5
S03E04_SC001,S03E04,3,4,Rachel Zane,2
S03E04_SC001,S03E04,3,4,Donna Paulsen,1
S03E04_SC001,S03E04,3,4,Jenny Griffith,1
S03E05_SC001,S03E05,3,5,Harvey Specter,16
S03E05_SC001,S03E05,3,5,Donna Paulsen,11
S03E05_SC001,S03E05,3,5,Mike Ross,14
S03E05_SC001,S03E05,3,5,Louis Litt,3
S03E05_SC001,S03E05,3,5,Katrina Bennett,1
S03E05_SC001,S03E05,3,5,Jessica Pearson,3
S03E05_SC001,S03E05,3,5,Rachel Zane,5
S03E05_SC001,S03E05,3,5,Robert Zane,2
S03E05_SC001,S03E05,3,5,Daniel Hardman,1
S03E06_SC001,S03E06,3,6,Mike Ross,4
S03E06_SC001,S03E06,3,6,Donna Paulsen,9
S03E06_SC001,S03E06,3,6,Esther Litt,1
S03E06_SC001,S03E06,3,6,Harvey Specter,23
S03E06_SC001,S03E06,3,6,Rachel Zane,2
S03E06_SC001,S03E06,3,6,Jessica Pearson,3
S03E06_SC001,S03E06,3,6,Daniel Hardman,1
S03E06_SC001,S03E06,3,6,Trevor Evans,5
S03E06_SC001,S03E06,3,6,Louis Litt,1
S03E07_SC001,S03E07,3,7,Donna Paulsen,9
S03E07_SC001,S03E07,3,7,Harvey Specter,23
S03E07_SC001,S03E07,3,7,Jessica Pearson,10
S03E07_SC001,S03E07,3,7,Norma,3
S03E07_SC001,S03E07,3,7,Louis Litt,21
S03E07_SC001,S03E07,3,7,Rachel Zane,12
S03E07_SC001,S03E07,3,7,Katrina Bennett,1
S03E07_SC001,S03E07,3,7,Mike Ross,4
S03E07_SC001,S03E07,3,7,Daniel Hardman,1
S03E07_SC001,S03E07,3,7,Harold Gunderson,7
S03E08_SC001,S03E08,3,8,Harvey Specter,20
S03E08_SC001,S03E08,3,8,Donna Paulsen,5
S03E08_SC001,S03E08,3,8,Louis Litt,11
