episode_id,season,episode_num,topic_00,topic_01,topic_02,topic_03,topic_04,topic_05,topic_06,topic_07,topic_08,topic_09,dominant_topic,dominant_topic_label,topic_00_smooth,topic_01_smooth,topic_02_smooth,topic_03_smooth,topic_04_smooth,topic_05_smooth,topic_06_smooth,topic_07_smooth,topic_08_smooth,topic_09_smooth
S01E01,1,1,0.0,0.0,0.0,0.0028,0.7295,0.2674,0.0,0.0,0.0,0.0,4,"Topic 4: gonna, partner, business",0.0,0.0,0.0,0.0014,0.7874,0.2108,0.0,0.0,0.0,0.0
S01E02,1,2,0.0001,0.0001,0.0001,0.0001,0.8452,0.1542,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.001,0.7996,0.199,0.0001,0.0001,0.0001,0.0001
S01E03,1,3,0.0001,0.0001,0.0001,0.0001,0.824,0.1754,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.8423,0.1571,0.0001,0.0001,0.0001,0.0001
S01E04,1,4,0.0001,0.0001,0.0001,0.0001,0.8578,0.1417,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7838,0.1806,0.0001,0.0001,0.0001,0.0351
S01E05,1,5,0.0001,0.0001,0.0001,0.0001,0.6697,0.2248,0.0001,0.0001,0.0001,0.1051,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.794,0.1705,0.0001,0.0001,0.0001,0.0351
S01E06,1,6,0.0001,0.0001,0.0001,0.0001,0.8544,0.1451,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7672,0.1972,0.0001,0.0001,0.0001,0.0351
S01E07,1,7,0.0001,0.0001,0.0001,0.0001,0.7776,0.2218,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.8129,0.1866,0.0001,0.0001,0.0001,0.0001
S01E08,1,8,0.0001,0.0001,0.0001,0.0001,0.8067,0.1928,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.791,0.2084,0.0001,0.0001,0.0001,0.0001
S01E09,1,9,0.0001,0.0001,0.0001,0.0001,0.7888,0.2107,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7643,0.2324,0.0001,0.0001,0.0001,0.0029
S01E10,1,10,0.0001,0.0001,0.0001,0.0001,0.6973,0.2936,0.0001,0.0001,0.0001,0.0086,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.755,0.2373,0.0001,0.0044,0.0001,0.0029
S01E11,1,11,0.0001,0.0001,0.0001,0.0001,0.7788,0.2076,0.0001,0.0131,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7446,0.2476,0.0001,0.0044,0.0001,0.0029
S01E12,1,12,0.0001,0.0001,0.0001,0.0001,0.7577,0.2417,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7525,0.2426,0.0001,0.0044,0.0001,0.0001
S02E01,2,1,0.0001,0.0001,0.0001,0.0001,0.7209,0.2785,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.768,0.2314,0.0001,0.0001,0.0001,0.0001
S02E02,2,2,0.0001,0.0001,0.0001,0.0001,0.8254,0.174,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7913,0.2081,0.0001,0.0001,0.0001,0.0001
S02E03,2,3,0.0001,0.0001,0.0001,0.0001,0.8275,0.1719,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0006,0.7957,0.2032,0.0001,0.0001,0.0001,0.0001
S02E04,2,4,0.0001,0.0001,0.0001,0.0017,0.7343,0.2636,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0006,0.7707,0.2283,0.0001,0.0001,0.0001,0.0001
S02E05,2,5,0.0001,0.0001,0.0001,0.0001,0.7502,0.2493,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0006,0.7493,0.2497,0.0001,0.0001,0.0001,0.0001
S02E06,2,6,0.0001,0.0001,0.0001,0.0001,0.7633,0.2362,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7654,0.2341,0.0001,0.0001,0.0001,0.0001
S02E07,2,7,0.0001,0.0001,0.0001,0.0001,0.7828,0.2167,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.774,0.2255,0.0001,0.0001,0.0001,0.0001
S02E08,2,8,0.0001,0.0001,0.0001,0.0001,0.7759,0.2236,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7783,0.2212,0.0001,0.0001,0.0001,0.0001
S02E09,2,9,0.0001,0.0001,0.0001,0.0001,0.7762,0.2233,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7796,0.2199,0.0001,0.0001,0.0001,0.0001
S02E10,2,10,0.0001,0.0001,0.0001,0.0001,0.7866,0.2128,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7717,0.2278,0.0001,0.0001,0.0001,0.0001
S02E11,2,11,0.0001,0.0001,0.0001,0.0001,0.7522,0.2473,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7753,0.2241,0.0001,0.0001,0.0001,0.0001
S02E12,2,12,0.0001,0.0001,0.0001,0.0001,0.7872,0.2123,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7655,0.234,0.0001,0.0001,0.0001,0.0001
S02E13,2,13,0.0001,0.0001,0.0001,0.0001,0.7571,0.2424,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7822,0.2173,0.0001,0.0001,0.0001,0.0001
S02E14,2,14,0.0001,0.0001,0.0001,0.0001,0.8023,0.1972,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7915,0.208,0.0001,0.0001,0.0001,0.0001
S02E15,2,15,0.0001,0.0001,0.0001,0.0001,0.8152,0.1843,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.8057,0.1924,0.0001,0.0014,0.0001,0.0001
S02E16,2,16,0.0001,0.0001,0.0001,0.0001,0.7997,0.1958,0.0001,0.0041,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7931,0.1919,0.0001,0.0147,0.0001,0.0001
S03E01,3,1,0.0001,0.0001,0.0001,0.0001,0.7643,0.1955,0.0001,0.0398,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7607,0.1999,0.0001,0.039,0.0001,0.0001
S03E02,3,2,0.0001,0.0001,0.0001,0.0001,0.718,0.2085,0.0001,0.0731,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.715,0.2113,0.0001,0.0733,0.0001,0.0001
