topic_id,rank,keyword,weight
0,1,zander,0.005705
0,2,smith devane,0.001523
0,3,devane,0.001074
0,4,sacrificed,0.000973
0,5,gonna,0.00057
0,6,stu,0.000508
0,7,tick,0.000477
0,8,stu buzzini,0.000326
0,9,buzzini,0.000277
0,10,pills,0.000251
0,11,another prison,0.000238
0,12,lease,0.000215
0,13,bench,0.000213
0,14,files,0.000206
0,15,woman,0.000196
1,1,gonna,0.000436
1,2,partner,0.000192
1,3,win,0.000174
1,4,robert,0.00017
1,5,court,0.000167
1,6,woman,0.000166
1,7,tomorrow,0.000165
1,8,offer,0.000164
1,9,alex,0.000163
1,10,goddamn,0.000161
1,11,business,0.000161
1,12,kind,0.000161
1,13,wants,0.000161
1,14,friend,0.00016
1,15,morning,0.00016
2,1,hardman,0.000268
2,2,devon,0.000252
2,3,gonna,0.000236
2,4,allison,0.000202
2,5,bratton gould,0.000193
2,6,gould,0.000181
2,7,five,0.000181
2,8,bratton,0.000178
2,9,daniel,0.000176
2,10,partner,0.000173
2,11,morning,0.000173
2,12,trust,0.000171
2,13,great,0.00017
2,14,associates,0.000165
2,15,offer,0.000165
3,1,gonna,0.012842
3,2,gibbs,0.008361
3,3,bratton,0.00768
3,4,alex,0.007657
3,5,gallo,0.006044
3,6,robert,0.005884
3,7,partner,0.005588
3,8,stephanie,0.004943
3,9,frank,0.00452
3,10,masterson,0.00446
3,11,tommy,0.004319
3,12,trial,0.004071
3,13,word,0.003881
3,14,paula,0.003592
3,15,reform,0.003525
4,1,gonna,0.007836
4,2,partner,0.003871
4,3,business,0.002827
4,4,goddamn,0.002624
4,5,offer,0.002481
4,6,hardman,0.002375
4,7,morning,0.00229
4,8,clients,0.002227
4,9,trust,0.002182
4,10,wants,0.002093
4,11,company,0.002085
4,12,meeting,0.001995
4,13,taking,0.001925
4,14,fight,0.001908
4,15,school,0.001904
5,1,gonna,0.021763
5,2,samantha,0.00958
5,3,faye,0.009219
5,4,katrina,0.004652
5,5,tomorrow,0.00397
5,6,damn,0.003968
5,7,sheila,0.003494
5,8,alex,0.003436
5,9,malik,0.003096
5,10,stand,0.003089
5,11,win,0.003048
5,12,brian,0.002932
5,13,sean,0.002912
5,14,called,0.002902
5,15,fired,0.002733
6,1,gonna,0.0003
6,2,nurses,0.000246
6,3,hardman,0.000222
6,4,partner,0.000203
6,5,goddamn,0.000199
6,6,business,0.000193
6,7,robert,0.000192
6,8,strike,0.000189
6,9,morning,0.00018
6,10,offer,0.000177
6,11,clients,0.000175
6,12,win,0.000175
6,13,alex,0.000171
6,14,school,0.000171
6,15,meeting,0.00017
7,1,ava,0.039184
7,2,stephen,0.021707
7,3,cameron,0.020705
7,4,hessington,0.018612
7,5,darby,0.01656
7,6,murder,0.011813
7,7,edward,0.011384
7,8,mariga,0.011334
7,9,cat,0.009593
7,10,oil,0.009376
7,11,gianopolous,0.008663
7,12,ava hessington,0.008592
7,13,huntley,0.007653
7,14,hessington oil,0.006929
7,15,stephen huntley,0.006894
8,1,gonna,0.000444
8,2,partner,0.000182
8,3,trust,0.000168
8,4,taking,0.000167
8,5,school,0.000166
8,6,kind,0.000166
8,7,offer,0.000163
8,8,goddamn,0.000163
8,9,supposed,0.000162
8,10,robert,0.000161
8,11,today,0.000161
8,12,clients,0.00016
8,13,fight,0.000159
8,14,company,0.000157
8,15,don need,0.000157
9,1,gonna,0.024141
9,2,oliver,0.006514
9,3,nathan,0.005538
9,4,clinic,0.005032
9,5,father,0.003979
9,6,partner,0.003829
9,7,robert,0.003217
9,8,kids,0.002923
9,9,business,0.002779
9,10,court,0.002733
9,11,meeting,0.002457
9,12,world,0.002442
9,13,michael,0.002441
9,14,class,0.002431
9,15,ten,0.002396
